Differential Diagnosis,Severity,Nature,Signs and Symptoms,Category,Weightage Base,Rule Weightage,Major Complaint,Source,Probability of Diagnosis,Symptoms and Signs
,,,Chills ,,0.2,90,,,,
,,,Diffuse Myalgias ,,0.1,45,,,,
,,,Chest Pain ,,0.05,22.5,,,,
,,,Dyspnea ,,0.05,22.5,,,,
,,,Headache ,,0.1,45,,,,
,,,Stiff Neck ,,0.1,45,,,,
,,,Blurry Vision ,,0.15,67.5,,,,
,,,Purplish Discoloration of Skin on Face ,,0.1,45,,,,
Community Acquired Pneumonia ,8,Common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.2,
,,,Dyspnea ,,0.28,56,,,,
,,,Leg Edema ,,0.06,12,,,,
,,,Hematochezia ,,0.06,12,,,,
,,,Fever ,,0.1,20,,,,
,,,Renal Failure ,,0.1,20,,,,
,,,Anemia ,,0.1,20,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,10,,,,
,,,HIV Negative; RPR Negative; No Parenchymal Infiltrates ,,0.15,30,,,,
CHF ,8,Common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.2,
,,,Dyspnea ,,0.28,56,,,,
,,,Leg Edema ,,0.06,12,,,,
,,,Hematochezia ,,0.06,12,,,,
,,,Fever ,,0.1,20,,,,
,,,Renal Failure ,,0.1,20,,,,
,,,Anemia ,,0.1,20,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,10,,,,
,,,Exudative Effusion ,,0.15,30,,,,
Sarcoidosis ,8,Moderately common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.04,
,,,Dyspnea ,,0.28,11.2,,,,
,,,Leg Edema ,,0.06,2.4,,,,
,,,Hematochezia ,,0.06,2.4,,,,
,,,Fever ,,0.1,4,,,,
,,,Renal Failure ,,0.1,4,,,,
,,,Anemia ,,0.1,4,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,2,,,,
,,,Loculated Effusions Unusual ,,0.15,6,,,,
Fungal ,8,Moderately common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.04,
,,,Dyspnea ,,0.28,11.2,,,,
,,,Leg Edema ,,0.06,2.4,,,,
,,,Hematochezia ,,0.06,2.4,,,,
,,,Fever ,,0.1,4,,,,
,,,Renal Failure ,,0.1,4,,,,
,,,Anemia ,,0.1,4,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,2,,,,
TB and Psittacosis (has Parrot) ,8,Uncommon,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.02,
,,,Dyspnea ,,0.28,5.6,,,,
,,,Leg Edema ,,0.06,1.2,,,,
,,,Hematochezia ,,0.06,1.2,,,,
,,,Fever ,,0.1,2,,,,
,,,Renal Failure ,,0.1,2,,,,
,,,Anemia ,,0.1,2,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,1,,,,
Cancer ,10,Moderately common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.2,
,,,Dyspnea ,,0.28,56,,,,
,,,Leg Edema ,,0.06,12,,,,
,,,Hematochezia ,,0.06,12,,,,
,,,Fever ,,0.1,20,,,,
,,,Renal Failure ,,0.1,20,,,,
,,,Anemia ,,0.1,20,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,10,,,,
Metabolic Encephalopathy ,8,Moderately common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.02,
,,,Dyspnea ,,0.28,5.6,,,,
,,,Leg Edema ,,0.06,1.2,,,,
,,,Hematochezia ,,0.06,1.2,,,,
,,,Fever ,,0.1,2,,,,
,,,Renal Failure ,,0.1,2,,,,
,,,Anemia ,,0.1,2,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,1,,,,
,,,No Evidence ,,0.15,3,,,,
CVA ,8,Common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.2,
,,,Dyspnea ,,0.28,56,,,,
,,,Leg Edema ,,0.06,12,,,,
,,,Hematochezia ,,0.06,12,,,,
,,,Fever ,,0.1,20,,,,
,,,Renal Failure ,,0.1,20,,,,
,,,Anemia ,,0.1,20,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,10,,,,
,,,No Evidence ,,0.15,30,,,,
Hypertensive Emergency ,10,Moderately common,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.02,
,,,Dyspnea ,,0.28,5.6,,,,
,,,Leg Edema ,,0.06,1.2,,,,
,,,Hematochezia ,,0.06,1.2,,,,
,,,Fever ,,0.1,2,,,,
,,,Renal Failure ,,0.1,2,,,,
,,,Anemia ,,0.1,2,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,1,,,,
,,,Not Elevated Enough ,,0.15,3,,,,
Autoimmune (Behcet's ,8,Uncommon,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.02,
,,,Dyspnea ,,0.28,5.6,,,,
,,,Leg Edema ,,0.06,1.2,,,,
,,,Hematochezia ,,0.06,1.2,,,,
,,,Fever ,,0.1,2,,,,
,,,Renal Failure ,,0.1,2,,,,
,,,Anemia ,,0.1,2,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,1,,,,
TTP/HUS ,10,Uncommon,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.01,
,,,Dyspnea ,,0.28,2.8,,,,
,,,Leg Edema ,,0.06,0.6,,,,
,,,Hematochezia ,,0.06,0.6,,,,
,,,Fever ,,0.1,1,,,,
,,,Renal Failure ,,0.1,1,,,,
,,,Anemia ,,0.1,1,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,0.5,,,,
Zoster Meningoencephalitis ,10,Uncommon,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.01,
,,,Dyspnea ,,0.28,2.8,,,,
,,,Leg Edema ,,0.06,0.6,,,,
,,,Hematochezia ,,0.06,0.6,,,,
,,,Fever ,,0.1,1,,,,
,,,Renal Failure ,,0.1,1,,,,
,,,Anemia ,,0.1,1,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,0.5,,,,
,,,Cannot Explain Pulmonary Findings;tertiary Syphillis ,,0.15,1.5,,,,
CNS Abscess ,10,Uncommon,,,,,Lethargy and Altered Mental Status ,Disseminated TB with CNS Vasculitis ,0.02,
,,,Dyspnea ,,0.28,5.6,,,,
,,,Leg Edema ,,0.06,1.2,,,,
,,,Hematochezia ,,0.06,1.2,,,,
,,,Fever ,,0.1,2,,,,
,,,Renal Failure ,,0.1,2,,,,
,,,Anemia ,,0.1,2,,,,
,,,R - Pleural Effusion and Pulmonary Edema ,,0.05,1,,,,
,,,Pulmonary ,,0.15,3,,,,
Giant Cell Arteritis (Class C) ,10,Uncommon,,,,,Temporary Vision Loss - Left Eye ,Systemic Primary Amyloidosis ,0.15,
,,,Severe Ptosis of Left Upper Eyelid ,,0.08,12,,,,
,,,Prominent Non Tender Temporal Arteries ,,0.08,12,,,,
,,,Irregular Mass Palpable Upper Left Superior Orbital Rim ,,0.08,12,,,,
,,,Weight Loss ,,0.08,12,,,,
,,,Normocytic Anemia ,,0.08,12,,,,
,,,Increase Aminotransferases ,,0.08,12,,,,
,,,Increased ESR ,,0.08,12,,,,
,,,Infiltrative Process in Liver ,,0.08,12,,,,
,,,Diploplia ,,0.08,12,,,,
,,,Lymphadenopathy ,,0.12,18,,,,
,,,Lateral Hip Soreness and Flexor Tenosynovitis ,,0.08,12,,,,
,,,Negative PH For Ocular or Rheumatologic Disease ,,0.15,22.5,,,,
,,,Orbital Mass ,,0.15,22.5,,,,
,,,LFT Abnormalities ,,0.15,22.5,,,,
,,,Liver Process ,,0.15,22.5,,,,
Sarcoidosis ,8,Moderately common,,,,,Temporary Vision Loss - Left Eye ,Systemic Primary Amyloidosis ,0.15,
,,,Severe Ptosis of Left Upper Eyelid ,,0.08,12,,,,
,,,Prominent Non Tender Temporal Arteries ,,0.08,12,,,,
,,,Irregular Mass Palpable Upper Left Superior Orbital Rim ,,0.08,12,,,,
,,,Weight Loss ,,0.08,12,,,,
,,,Normocytic Anemia ,,0.08,12,,,,
,,,Increase Aminotransferases ,,0.08,12,,,,
,,,Increased ESR ,,0.08,12,,,,
,,,Infiltrative Process in Liver ,,0.08,12,,,,
,,,Diploplia ,,0.08,12,,,,
,,,Lymphadenopathy ,,0.12,18,,,,
,,,Lateral Hip Soreness and Flexor Tenosynovitis ,,0.08,12,,,,
,,,Hilar Nodes Tend to Be Large and Bilateral ,,0.15,22.5,,,,
Ig 4 Related Disease ,8,Uncommon,,,,,Temporary Vision Loss - Left Eye ,Systemic Primary Amyloidosis ,0.15,
,,,Severe Ptosis of Left Upper Eyelid ,,0.08,12,,,,
,,,Prominent Non Tender Temporal Arteries ,,0.08,12,,,,
,,,Irregular Mass Palpable Upper Left Superior Orbital Rim ,,0.08,12,,,,
,,,Weight Loss ,,0.08,12,,,,
,,,Normocytic Anemia ,,0.08,12,,,,
,,,Increase Aminotransferases ,,0.08,12,,,,
,,,Increased ESR ,,0.08,12,,,,
,,,Infiltrative Process in Liver ,,0.08,12,,,,
,,,Diploplia ,,0.08,12,,,,
,,,Lymphadenopathy ,,0.12,18,,,,
,,,Lateral Hip Soreness and Flexor Tenosynovitis ,,0.08,12,,,,
,,,Involve Salivary and Lacrimal Glands Bilaterally ,,0.15,22.5,,,,
,,,Pancreatic Involvement ,,0.15,22.5,,,,
,,,Normal ESR and CRP ,,0.15,22.5,,,,
,,,Ig G4 Levels Normal ,,0.15,22.5,,,,
*Primary Amyloidosis ,8,Uncommon,,,,,Temporary Vision Loss - Left Eye ,Systemic Primary Amyloidosis ,0.15,
,,,Severe Ptosis of Left Upper Eyelid ,,0.08,12,,,,
,,,Prominent Non Tender Temporal Arteries ,,0.08,12,,,,
,,,Irregular Mass Palpable Upper Left Superior Orbital Rim ,,0.08,12,,,,
,,,Weight Loss ,,0.08,12,,,,
,,,Normocytic Anemia ,,0.08,12,,,,
,,,Increase Aminotransferases ,,0.08,12,,,,
,,,Increased ESR ,,0.08,12,,,,
,,,Infiltrative Process in Liver ,,0.08,12,,,,
,,,Diploplia ,,0.08,12,,,,
,,,Lymphadenopathy ,,0.12,18,,,,
,,,Lateral Hip Soreness and Flexor Tenosynovitis ,,0.08,12,,,,
Vasculitides A) Polyarteritis Nodosa; B) ANCA Associated; C) TB; D) Endemic Mycoses ,10,Uncommon,,,,,Temporary Vision Loss - Left Eye ,Systemic Primary Amyloidosis ,0.15,
,,,Severe Ptosis of Left Upper Eyelid ,,0.08,12,,,,
,,,Prominent Non Tender Temporal Arteries ,,0.08,12,,,,
,,,Irregular Mass Palpable Upper Left Superior Orbital Rim ,,0.08,12,,,,
,,,Weight Loss ,,0.08,12,,,,
,,,Normocytic Anemia ,,0.08,12,,,,
,,,Increase Aminotransferases ,,0.08,12,,,,
,,,Increased ESR ,,0.08,12,,,,
,,,Infiltrative Process in Liver ,,0.08,12,,,,
,,,Diploplia ,,0.08,12,,,,
,,,Lymphadenopathy ,,0.12,18,,,,
,,,Lateral Hip Soreness and Flexor Tenosynovitis ,,0.08,12,,,,
,,,Do Not Usually Involve Liver or Lymph Nodes ,,0.15,22.5,,,,
,,,Other System Involvement ,,0.15,22.5,,,,
,,,Negative Serologies ,,0.15,22.5,,,,
,,,Do Not Cause Symptoms of Giant Cell Artentis ,,0.15,22.5,,,,
Herpes Zoster ,7,Common,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.83,
,,,Pressure Like Pain ,,0.05,41.5,,,,
,,,Blurry Vision ,,0.05,41.5,,,,
,,,Fever ,,0.1,83,,,,
,,,Visual Hallucinations ,,0.01,8.3,,,,
,,,Low Sed Rate ,,0.05,41.5,,,,
,,,Mild Hyponatremia ,,0.01,8.3,,,,
Giant Cell Arteritis ,10,Rare,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.05,
,,,Pressure Like Pain ,,0.05,2.5,,,,
,,,Blurry Vision ,,0.05,2.5,,,,
,,,Fever ,,0.1,5,,,,
,,,Visual Hallucinations ,,0.01,0.5,,,,
,,,Low Sed Rate ,,0.05,2.5,,,,
,,,Mild Hyponatremia ,,0.01,0.5,,,,
,,,Scalp Necrosis Unusual ,,0.15,7.5,,,,
,,,High Sed Rate or Thrombocytosis ,,0.15,7.5,,,,
Insect Bites ,4,Rare,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.02,
,,,Pressure Like Pain ,,0.05,1,,,,
,,,Blurry Vision ,,0.05,1,,,,
,,,Fever ,,0.1,2,,,,
,,,Visual Hallucinations ,,0.01,0.2,,,,
,,,Low Sed Rate ,,0.05,1,,,,
,,,Mild Hyponatremia ,,0.01,0.2,,,,
,,,Proptosis or Afferent Pupillary Defect ,,0.15,3,,,,
,,,Trauma to Area ,,0.15,3,,,,
Cellulitis/abscess ,5,Common,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.05,
,,,Pressure Like Pain ,,0.05,2.5,,,,
,,,Blurry Vision ,,0.05,2.5,,,,
,,,Fever ,,0.1,5,,,,
,,,Visual Hallucinations ,,0.01,0.5,,,,
,,,Low Sed Rate ,,0.05,2.5,,,,
,,,Mild Hyponatremia ,,0.01,0.5,,,,
Necrotizing Fascitis ,10,Rare,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.02,
,,,Pressure Like Pain ,,0.05,1,,,,
,,,Blurry Vision ,,0.05,1,,,,
,,,Fever ,,0.1,2,,,,
,,,Visual Hallucinations ,,0.01,0.2,,,,
,,,Low Sed Rate ,,0.05,1,,,,
,,,Mild Hyponatremia ,,0.01,0.2,,,,
,,,Rarely in Forehead and Eye Location ,,0.15,3,,,,
,,,Ill Appearance ,,0.15,3,,,,
Viral Complaints ,1,Common,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.01,
,,,Pressure Like Pain ,,0.05,0.5,,,,
,,,Blurry Vision ,,0.05,0.5,,,,
,,,Fever ,,0.1,1,,,,
,,,Visual Hallucinations ,,0.01,0.1,,,,
,,,Low Sed Rate ,,0.05,0.5,,,,
,,,Mild Hyponatremia ,,0.01,0.1,,,,
,,,Cutaneous Symptoms Different ,,0.15,1.5,,,,
Contact Hypersensitivity ,1,Common,,,,,Rash on Forehead and Frontal Scalp (dermatomal Distribution) ,Herpes Zoster Opthalmicus ,0.02,
,,,Pressure Like Pain ,,0.05,1,,,,
,,,Blurry Vision ,,0.05,1,,,,
,,,Fever ,,0.1,2,,,,
,,,Visual Hallucinations ,,0.01,0.2,,,,
,,,Low Sed Rate ,,0.05,1,,,,
,,,Mild Hyponatremia ,,0.01,0.2,,,,
,,,History of Such ,,0.15,3,,,,
Reflex Syncope ,2,Common,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.3,
,,,Hx of CAD and S/p ,,0.2,60,,,,
,,,CABG 13 Yrs Before ,,0.1,30,,,,
,,,HTN ,,0.1,30,,,,
,,,Etohism ,,0.1,30,,,,
,,,NL - Valves ,,0.1,30,,,,
,,,Absence of Typical Trigger ,,0.15,45,,,,
Arrythmias (brady or Tachy) ,10,Moderately common,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.05,
,,,Hx of CAD and S/p ,,0.2,10,,,,
,,,CABG 13 Yrs Before ,,0.1,5,,,,
,,,HTN ,,0.1,5,,,,
,,,Etohism ,,0.1,5,,,,
,,,NL - Valves ,,0.1,5,,,,
,,,Normal EF% ,,0.15,7.5,,,,
,,,Documentation ,,0.15,7.5,,,,
Cardiac Tamponade ,10,Rare,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.03,
,,,Hx of CAD and S/p ,,0.2,6,,,,
,,,CABG 13 Yrs Before ,,0.1,3,,,,
,,,HTN ,,0.1,3,,,,
,,,Etohism ,,0.1,3,,,,
,,,NL - Valves ,,0.1,3,,,,
,,,Echo Findings ,,0.15,4.5,,,,
Orthostatic Hypotension ,5,Common,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.5,
,,,Hx of CAD and S/p ,,0.2,100,,,,
,,,CABG 13 Yrs Before ,,0.1,50,,,,
,,,HTN ,,0.1,50,,,,
,,,Etohism ,,0.1,50,,,,
,,,NL - Valves ,,0.1,50,,,,
,,,Syncope with Change in Postural Position ,,0.15,75,,,,
Intracardiac Mass ,10,Rare,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.05,
,,,Hx of CAD and S/p ,,0.2,10,,,,
,,,CABG 13 Yrs Before ,,0.1,5,,,,
,,,HTN ,,0.1,5,,,,
,,,Etohism ,,0.1,5,,,,
,,,NL - Valves ,,0.1,5,,,,
,,,Echo Evidence ,,0.15,7.5,,,,
Extracardiac Mass ,8,Rare,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.05,
,,,Hx of CAD and S/p ,,0.2,10,,,,
,,,CABG 13 Yrs Before ,,0.1,5,,,,
,,,HTN ,,0.1,5,,,,
,,,Etohism ,,0.1,5,,,,
,,,NL - Valves ,,0.1,5,,,,
,,,Clinical Evidence ,,0.15,7.5,,,,
* Coronary Artery Aneursym ,8,Rare,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0,
,,,Hx of CAD and S/p ,,0.2,0,,,,
,,,CABG 13 Yrs Before ,,0.1,0,,,,
,,,HTN ,,0.1,0,,,,
,,,Etohism ,,0.1,0,,,,
,,,NL - Valves ,,0.1,0,,,,
,,,Echo Findings ,,0.15,0,,,,
Myocardial Cardiomyopathy ,8,Rare,,,,,Syncopy ,Aortocoronary Saphenous - Vein-graft Aneurysm ,0.02,
,,,Hx of CAD and S/p ,,0.2,4,,,,
,,,CABG 13 Yrs Before ,,0.1,2,,,,
,,,HTN ,,0.1,2,,,,
,,,Etohism ,,0.1,2,,,,
,,,NL - Valves ,,0.1,2,,,,
,,,Evidence ,,0.15,3,,,,
Pantypopitritonism 2⁰ To! ,10,,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.1,
,,,Painless Vision Loss Bilateral ,,0.5,50,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,50,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
Craniopharyngloma ,5,Rare,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.15,
,,,Painless Vision Loss Bilateral ,,0.5,75,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,75,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Progressive or Systemic Findings ,,0.15,22.5,,,,
Lymphoma or Germ Cell Tumor ,5,Rare,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.2,
,,,Painless Vision Loss Bilateral ,,0.5,100,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,100,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Rare Primary Brain Tumors But Can Occur in Young Men ,,0.15,30,,,,
Metastases ,5,Rare,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.05,
,,,Painless Vision Loss Bilateral ,,0.5,25,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,25,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,MRI Findings ,,0.15,7.5,,,,
Autoimmune ,5,Middle,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.2,
,,,Painless Vision Loss Bilateral ,,0.5,100,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,100,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Granularstosis Wit Polyangitis (unusual CNS Diagnosis Alone) ,,0.15,30,,,,
Granulomatous (sarcoid ,5,Middle,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.25,
,,,Painless Vision Loss Bilateral ,,0.5,125,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,125,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Sarcoidosis - Unusual CNS Diagnosis Without Other Areas ,,0.15,37.5,,,,
,,,Can Happen Though ,,0.15,37.5,,,,
,,,Histiocytosis - Indolent Progressive Disease ,,0.15,37.5,,,,
Infiltrative ,5,Rare,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.05,
,,,Painless Vision Loss Bilateral ,,0.5,25,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,25,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
Infectious (TB ,5,Rare,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.1,
,,,Painless Vision Loss Bilateral ,,0.5,50,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,50,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Risk Factors or Constitutional Findings ,,0.15,15,,,,
Multiple Sclerosis or Neuromyelitis Optica ,8,Common,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.1,
,,,Painless Vision Loss Bilateral ,,0.5,50,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
,,,Urinary Incontinence ,,,,,,,
,,,Hyperasmolar ,,0.5,50,,,,
,,,Polyuria ,,,,,,,
,,,Concentrated Urine ,,,,,,,
,,,Low Corticatropin ,,,,,,,
,,,Low FSH ,,,,,,,
,,,Low LH ,,,,,,,
,,,High Prolagin ,,,,,,,
,,,Aquaporin Ab ,,0.15,15,,,,
,,,Normal Findings on MRI of Spinal Cord ,,0.15,15,,,,
Whipple's Disease ,8,Rare,,,,,Progressive Neurologic Decline ,Pituitary CNS Germinama ,0.1,
,,,Painless Vision Loss Bilateral ,,0.5,50,,,,
,,,Limb Stiffness and Spastic Quadrigeresis ,,,,,,,
